sample_id_a,sample_id_b,label_a,label_b,split_a,split_b,pca_euclidean_distance,same_class
features_1:1081,features_1:1370,1,1,train,train,14.504594802856445,True
features_1:122,features_1:457,1,1,train,train,14.554192543029785,True
features_1:6,features_1:624,1,1,train,train,14.554699897766113,True
features_1:842,features_1:1509,1,1,train,train,14.58884048461914,True
features_1:371,features_1:599,1,1,train,train,14.589052200317383,True
features_1:1458,features_1:2306,1,1,train,train,14.625362396240234,True
features_1:234,features_1:1815,1,1,train,train,14.625669479370117,True
features_1:1481,features_1:1578,1,1,train,train,14.631489753723145,True
features_1:62,features_1:527,1,1,train,train,14.703339576721191,True
features_1:192,features_1:268,1,1,train,train,14.813304901123047,True
features_1:1161,features_1:1569,1,1,train,train,14.962336540222168,True
features_1:343,features_1:449,1,1,train,train,14.993579864501953,True
features_1:945,features_1:1515,1,1,train,train,15.025811195373535,True
features_1:146,features_1:644,1,1,train,train,15.079887390136719,True
features_1:568,features_1:603,1,1,train,train,15.138962745666504,True
features_1:1040,features_1:1079,1,1,train,train,15.193164825439453,True
features_1:777,features_1:1922,1,1,train,train,15.225410461425781,True
features_1:1143,features_1:2083,1,1,train,train,15.269084930419922,True
features_1:1119,features_1:1509,1,1,train,train,15.30771255493164,True
features_1:900,features_1:1144,1,1,train,train,15.313533782958984,True
features_1:872,features_1:1344,1,1,train,train,15.319490432739258,True
features_0:82,features_1:2332,0,1,train,train,15.391585350036621,False
features_1:17,features_1:367,1,1,train,train,15.39488697052002,True
features_1:997,features_1:2374,1,1,train,train,15.416967391967773,True
features_1:1088,features_1:1920,1,1,train,train,15.436473846435547,True
features_1:230,features_1:584,1,1,train,train,15.438675880432129,True
features_1:882,features_1:1463,1,1,train,train,15.45689582824707,True
features_1:864,features_1:1511,1,1,train,train,15.467838287353516,True
features_1:784,features_1:2084,1,1,train,train,15.487680435180664,True
features_1:43,features_1:442,1,1,train,train,15.508435249328613,True
features_1:1210,features_1:1597,1,1,train,train,15.5362548828125,True
features_1:1929,features_1:2108,1,1,train,train,15.581177711486816,True
features_1:785,features_1:1508,1,1,train,train,15.584294319152832,True
features_1:2074,features_1:2083,1,1,train,train,15.593180656433105,True
features_1:888,features_1:1625,1,1,train,train,15.615178108215332,True
features_1:385,features_1:646,1,1,train,train,15.639389038085938,True
features_1:1045,features_1:1727,1,1,train,train,15.646967887878418,True
features_1:1078,features_1:2306,1,1,train,train,15.680657386779785,True
features_1:1200,features_1:1392,1,1,train,train,15.684038162231445,True
features_1:818,features_1:1703,1,1,train,train,15.691637992858887,True
features_1:1457,features_1:1481,1,1,train,train,15.706079483032227,True
features_1:36,features_1:499,1,1,train,train,15.707935333251953,True
features_1:84,features_1:130,1,1,train,train,15.730457305908203,True
features_1:729,features_1:949,1,1,train,train,15.760205268859863,True
features_1:37,features_1:234,1,1,train,train,15.776430130004883,True
features_1:1056,features_1:1733,1,1,train,train,15.79078197479248,True
features_1:1116,features_1:1214,1,1,train,train,15.805041313171387,True
features_1:239,features_1:346,1,1,train,train,15.830790519714355,True
features_1:1917,features_1:1932,1,1,train,train,15.83942985534668,True
features_1:1468,features_1:1733,1,1,train,train,15.858806610107422,True
features_1:1533,features_1:1805,1,1,train,train,15.865878105163574,True
features_0:787,features_0:1431,0,0,train,train,15.903057098388672,True
features_1:537,features_1:624,1,1,train,train,15.920599937438965,True
features_1:1024,features_1:1342,1,1,train,train,15.934812545776367,True
features_1:1411,features_1:1688,1,1,train,train,15.948116302490234,True
features_1:889,features_1:1588,1,1,train,train,15.962162971496582,True
features_1:277,features_1:414,1,1,train,train,15.990172386169434,True
features_1:761,features_1:1493,1,1,train,train,16.027009963989258,True
features_1:55,features_1:439,1,1,train,train,16.030717849731445,True
features_1:768,features_1:1474,1,1,train,train,16.07366180419922,True
features_1:32,features_1:87,1,1,train,train,16.074792861938477,True
features_1:1972,features_1:2191,1,1,train,train,16.079090118408203,True
features_1:1171,features_1:1231,1,1,train,train,16.14164924621582,True
features_1:280,features_1:512,1,1,train,train,16.152690887451172,True
features_1:996,features_1:1516,1,1,train,train,16.21421241760254,True
features_1:70,features_1:176,1,1,train,train,16.24024200439453,True
features_1:1464,features_1:1558,1,1,train,train,16.280136108398438,True
features_1:1299,features_1:2190,1,1,train,train,16.287450790405273,True
features_1:2186,features_1:2298,1,1,train,train,16.354764938354492,True
features_1:1185,features_1:1319,1,1,train,train,16.396759033203125,True
features_1:1505,features_1:1721,1,1,train,train,16.40553855895996,True
features_1:798,features_1:1714,1,1,train,train,16.434598922729492,True
features_1:1135,features_1:1256,1,1,train,train,16.45607566833496,True
features_1:383,features_1:434,1,1,train,train,16.459888458251953,True
features_1:199,features_1:346,1,1,train,train,16.464059829711914,True
features_1:102,features_1:673,1,1,train,train,16.49945068359375,True
features_1:137,features_1:395,1,1,train,train,16.50629425048828,True
features_1:244,features_1:476,1,1,train,train,16.527206420898438,True
features_1:161,features_1:222,1,1,train,train,16.554336547851562,True
features_1:1491,features_1:1808,1,1,train,train,16.555885314941406,True
features_0:810,features_0:1240,0,0,train,train,16.56352424621582,True
features_1:2048,features_1:2223,1,1,train,train,16.589059829711914,True
features_0:1278,features_1:635,0,1,train,train,16.602123260498047,False
features_1:989,features_1:1161,1,1,train,train,16.60715103149414,True
features_1:1281,features_1:2079,1,1,train,train,16.62982940673828,True
features_1:736,features_1:1025,1,1,train,train,16.629920959472656,True
features_1:841,features_1:1054,1,1,train,train,16.645288467407227,True
features_1:2283,features_1:2332,1,1,train,train,16.695993423461914,True
features_1:1513,features_1:1673,1,1,train,train,16.69732666015625,True
features_1:229,features_1:563,1,1,train,train,16.717308044433594,True
features_1:1097,features_1:1325,1,1,train,train,16.723047256469727,True
features_1:1146,features_1:1569,1,1,train,train,16.728025436401367,True
features_1:258,features_1:384,1,1,train,train,16.754810333251953,True
features_1:893,features_1:1251,1,1,train,train,16.777870178222656,True
features_1:2078,features_1:2363,1,1,train,train,16.82044219970703,True
features_1:2180,features_1:2367,1,1,train,train,16.831600189208984,True
features_1:1407,features_1:1733,1,1,train,train,16.84536361694336,True
features_1:1950,features_1:1979,1,1,train,train,16.85480499267578,True
features_1:1434,features_1:1461,1,1,train,train,16.87340545654297,True
features_1:249,features_1:540,1,1,train,train,16.898723602294922,True
features_1:1484,features_1:1733,1,1,train,train,16.928964614868164,True
features_0:1096,features_0:1534,0,0,train,train,16.96247100830078,True
features_1:806,features_1:1707,1,1,train,train,16.96661949157715,True
features_1:720,features_1:1135,1,1,train,train,16.990798950195312,True
features_1:172,features_1:313,1,1,train,train,17.011825561523438,True
features_1:381,features_1:1719,1,1,train,train,17.043825149536133,True
features_1:801,features_1:1760,1,1,train,train,17.050033569335938,True
features_1:2227,features_1:2332,1,1,train,train,17.054821014404297,True
features_0:1633,features_1:1468,0,1,train,train,17.05588150024414,False
features_1:223,features_1:456,1,1,train,train,17.057750701904297,True
features_1:1449,features_1:1716,1,1,train,train,17.075809478759766,True
features_1:1869,features_1:1920,1,1,train,train,17.0828800201416,True
features_1:233,features_1:621,1,1,train,train,17.09559440612793,True
features_1:220,features_1:313,1,1,train,train,17.102863311767578,True
features_1:835,features_1:1762,1,1,train,train,17.112037658691406,True
features_1:1076,features_1:1590,1,1,train,train,17.13759994506836,True
features_0:706,features_0:1340,0,0,train,train,17.138080596923828,True
features_1:182,features_1:210,1,1,train,train,17.14313316345215,True
features_1:390,features_1:2245,1,1,train,train,17.151376724243164,True
features_1:923,features_1:1704,1,1,train,train,17.176467895507812,True
features_1:1538,features_1:1716,1,1,train,train,17.184497833251953,True
features_1:1498,features_1:2227,1,1,train,train,17.200902938842773,True
features_1:1175,features_1:1616,1,1,train,train,17.204944610595703,True
features_1:747,features_1:1060,1,1,train,train,17.210205078125,True
features_1:1055,features_1:1950,1,1,train,train,17.254301071166992,True
features_1:796,features_1:1223,1,1,train,train,17.259435653686523,True
features_1:118,features_1:505,1,1,train,train,17.2641544342041,True
features_1:212,features_1:641,1,1,train,train,17.27486801147461,True
features_1:1260,features_1:1719,1,1,train,train,17.286380767822266,True
features_1:910,features_1:1060,1,1,train,train,17.291662216186523,True
features_1:757,features_1:1210,1,1,train,train,17.301109313964844,True
features_1:95,features_1:541,1,1,train,train,17.310840606689453,True
features_1:2019,features_1:2154,1,1,train,train,17.33155632019043,True
features_1:10,features_1:114,1,1,train,train,17.339189529418945,True
features_1:183,features_1:279,1,1,train,train,17.345224380493164,True
features_1:52,features_1:318,1,1,train,train,17.386667251586914,True
features_1:59,features_1:61,1,1,train,train,17.387834548950195,True
features_1:1288,features_1:1790,1,1,train,train,17.405845642089844,True
features_1:814,features_1:1869,1,1,train,train,17.408113479614258,True
features_1:803,features_1:1814,1,1,train,train,17.418691635131836,True
features_1:991,features_1:1160,1,1,train,train,17.436769485473633,True
features_1:1604,features_1:1663,1,1,train,train,17.45669937133789,True
features_1:1372,features_1:1574,1,1,train,train,17.52361297607422,True
features_1:797,features_1:1281,1,1,train,train,17.553817749023438,True
features_0:1295,features_0:1483,0,0,train,train,17.563085556030273,True
features_1:1552,features_1:2355,1,1,train,train,17.580947875976562,True
features_1:1422,features_1:1831,1,1,train,train,17.587129592895508,True
features_0:962,features_0:1160,0,0,train,train,17.61185646057129,True
features_1:722,features_1:1270,1,1,train,train,17.61680793762207,True
features_1:248,features_1:511,1,1,train,train,17.624963760375977,True
features_1:1975,features_1:2304,1,1,train,train,17.636445999145508,True
features_1:789,features_1:1516,1,1,train,train,17.63654136657715,True
features_1:809,features_1:1420,1,1,train,train,17.637853622436523,True
features_0:1037,features_0:1110,0,0,train,train,17.64830780029297,True
features_1:1846,features_1:2368,1,1,train,train,17.66727638244629,True
features_0:1359,features_1:546,0,1,train,train,17.675552368164062,False
features_1:770,features_1:1717,1,1,train,train,17.74350929260254,True
features_1:844,features_1:1794,1,1,train,train,17.753219604492188,True
features_1:1400,features_1:1545,1,1,train,train,17.76158905029297,True
