sample_id,source_file,source_index,label,split,robust_global_stat_score,pca_distance,nearest_neighbor_distance,combined_rank_score,reason
features_1:421,features_1.npy,421,1,train,3.2917668915281997,55.68642,28.391508102416992,2.8417699115044246,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:341,features_0.npy,341,0,train,2.470437122069222,55.95296,30.837038040161133,2.836283185840708,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:96,features_0.npy,96,0,train,2.4534790161520754,56.226498,30.837038040161133,2.834867256637168,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1150,features_1.npy,1150,1,train,2.757349391380466,47.621056,30.440305709838867,2.8295575221238938,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1223,features_0.npy,1223,0,train,2.6777409801352436,53.634045,29.43990135192871,2.825840707964602,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:282,features_0.npy,282,0,train,2.746056382628182,49.072166,30.035947799682617,2.825486725663717,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:617,features_0.npy,617,0,train,2.3887227316662067,51.16427,32.56379699707031,2.825132743362832,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:411,features_0.npy,411,0,train,2.2053063516345084,57.799168,33.78205490112305,2.822654867256637,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:227,features_0.npy,227,0,train,2.1649453402258745,55.591724,35.02287292480469,2.8180530973451328,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:4,features_1.npy,4,1,train,2.4692128048093127,54.90212,30.004039764404297,2.812743362831858,"robust global statistics, PCA distance, nearest-neighbor distance"
features_1:1207,features_1.npy,1207,1,train,3.2110259626416107,39.28541,34.22298812866211,2.8074336283185843,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:38,features_0.npy,38,0,train,2.4997969592765212,47.81228,30.56331443786621,2.802477876106195,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1617,features_0.npy,1617,0,train,2.150067786381635,50.572266,34.686851501464844,2.7950442477876107,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:328,features_0.npy,328,0,train,3.122323002728196,45.94589,28.697351455688477,2.794690265486726,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1381,features_0.npy,1381,0,train,3.031164281453206,42.722412,29.766801834106445,2.792566371681416,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:846,features_0.npy,846,0,train,2.7893234409366428,52.772877,27.88710594177246,2.7823008849557525,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:1323,features_0.npy,1323,0,train,2.7536143579932677,52.61827,27.937463760375977,2.7801769911504426,"robust global statistics, PCA distance, nearest-neighbor distance"
features_0:286,features_0.npy,286,0,train,2.4257415878662885,49.941547,29.367033004760742,2.7787610619469025,"robust global statistics, PCA distance, nearest-neighbor distance"
